                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  0.862,                0.64157,                0.96515,                0.69219,                0.58435,                0.61506,                0.39212,                 1.1854,                 1.4959,                 1.0871,             0.00084162,             0.00084162,             0.00084162
                     36,                 0.8576,                0.62134,                0.96451,                0.63195,                0.61312,                0.59316,                0.38046,                 1.1858,                 1.4805,                 1.0852,             0.00082925,             0.00082925,             0.00082925
                     37,                0.84287,                0.62278,                 0.9599,                0.67697,                0.61595,                0.61924,                0.40353,                 1.1771,                 1.3796,                 1.0769,             0.00081688,             0.00081688,             0.00081688
                     38,                0.82374,                0.61253,                0.95466,                0.64732,                0.61677,                0.61796,                0.40944,                 1.1786,                 1.7566,                 1.0735,              0.0008045,              0.0008045,              0.0008045
                     39,                0.81503,                0.58881,                0.94653,                0.66989,                0.59341,                0.59638,                0.38758,                  1.174,                 1.5478,                 1.0909,             0.00079213,             0.00079213,             0.00079213
                     40,                0.80143,                0.58281,                0.94456,                0.66388,                0.61189,                0.59032,                0.38758,                 1.1688,                 1.5118,                 1.0855,             0.00077975,             0.00077975,             0.00077975
                     41,                0.81064,                0.59241,                0.94677,                0.66425,                0.63014,                0.62172,                0.40419,                 1.1626,                 1.4343,                 1.0789,             0.00076738,             0.00076738,             0.00076738
                     42,                0.79162,                0.57586,                0.93848,                0.70016,                0.59854,                0.63467,                0.41765,                 1.1866,                 1.5322,                 1.0864,               0.000755,               0.000755,               0.000755
                     43,                0.78098,                0.55871,                0.93587,                0.66615,                0.61021,                0.61102,                0.40073,                 1.1671,                 1.4801,                 1.0761,             0.00074263,             0.00074263,             0.00074263
                     44,                0.77916,                  0.564,                0.94095,                0.71164,                0.55672,                0.61196,                0.40439,                 1.1814,                 1.6215,                  1.079,             0.00073025,             0.00073025,             0.00073025
                     45,                0.77119,                 0.5545,                0.93719,                0.68923,                0.57837,                0.60036,                0.39185,                 1.1769,                 1.4757,                 1.0838,             0.00071788,             0.00071788,             0.00071788
                     46,                0.75615,                0.55983,                0.93298,                0.67575,                0.58684,                0.60116,                0.39243,                 1.1807,                 1.6941,                 1.0827,              0.0007055,              0.0007055,              0.0007055
                     47,                0.74523,                0.54342,                0.92973,                0.63491,                0.62507,                0.63421,                0.42447,                 1.1564,                 1.4227,                 1.0809,             0.00069313,             0.00069313,             0.00069313
                     48,                0.73496,                 0.5304,                0.92647,                0.69722,                0.57736,                0.61576,                0.40934,                 1.1742,                 1.5578,                 1.0879,             0.00068075,             0.00068075,             0.00068075
                     49,                0.73508,                0.53092,                0.92406,                 0.6827,                0.63196,                0.62979,                0.41389,                 1.1544,                 1.3877,                 1.0777,             0.00066838,             0.00066838,             0.00066838
                     50,                0.71575,                0.52408,                0.91819,                0.66308,                0.60349,                0.60314,                0.39719,                 1.1633,                 1.5863,                 1.0812,               0.000656,               0.000656,               0.000656
